title,body,labels
"Epic 1 — Story 1.1: Create world from template","User story:\nAs a paid user, I want to create a world from a template so that I can start quickly with sensible defaults.\n\nAcceptance criteria:\n- Template picker offers Prisoner’s Dilemma v1, Blank, Custom Matrix Game.\n- Form captures name, description, visibility (public/private) and persists.\n- Redirects to world detail page after save; shows next-step guidance.\n\nTechnical notes:\n- Persist to worlds table (name, description, visibility, owner_user_id, version).\n- Initialize schema_doc with template defaults.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-11--create-world-from-template\n- docs/architecture/world-schema-and-kpis.md","epic:world-creator,type:feature,priority:high"
"Epic 1 — Story 1.2: Define rules (decisions, outcomes, policy, iterations)","User story:\nAs a world creator, I want to define rules so that simulations behave as specified.\n\nAcceptance criteria:\n- Decision space is an array; outcome space auto-derived with manual override.\n- Interaction policy options: all_pairs, round_robin, random; validation on change.\n- Iterations must be a positive integer; invalid inputs are blocked with inline error.\n\nTechnical notes:\n- Update schema_doc fields decisions.allowed, outcomes.allowed, interaction.policy, time.iterations.\n- Client derives outcomes from decisions × decisions; allow override.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-12--define-rules-decisions-outcomes-policy-iterations\n- docs/architecture/world-schema-and-kpis.md","epic:world-creator,type:feature"
"Epic 1 — Story 1.3: Configure determinism and randomness","User story:\nAs a world creator, I want deterministic seeds and optional schedule randomization so that runs are reproducible yet flexible.\n\nAcceptance criteria:\n- rng_seed is required and persisted.\n- schedule_randomization toggle appears when policy is random; uses seeded shuffles.\n- World schema preview reflects chosen settings.\n\nTechnical notes:\n- Update determinism.rng_seed and randomness.schedule_randomization in schema_doc.\n- Simulation manifest records seed and randomization mode.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-13--configure-determinism-and-randomness\n- docs/architecture/simulation-engine-and-scheduling.md","epic:world-creator,type:feature"
"Epic 1 — Story 1.4: Set scoring and payoff","User story:\nAs a world creator, I want to define payoff and scoring so that rankings reflect my world.\n\nAcceptance criteria:\n- Payoff matrix editor with Prisoner’s Dilemma defaults; prevents missing cells.\n- Scoring options: sum | average | discounted (gamma input shown only when selected).\n- Function reference input visible but disabled (future use).\n\nTechnical notes:\n- Update payoff (type, matrix) and scoring in schema_doc; validate matrix completeness.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-14--set-scoring-and-payoff\n- docs/architecture/world-schema-and-kpis.md","epic:world-creator,type:feature"
"Epic 1 — Story 1.5: Configure state and state update","User story:\nAs a world creator, I want to configure state so that the engine can track histories and rounds.\n\nAcceptance criteria:\n- Initial state shows round and history defaults; editable JSON with schema validation.\n- Built‑in update selector (pd.update_state) selectable; custom updates disabled (future).\n\nTechnical notes:\n- Update state.initial and state.update in schema_doc; perform JSON schema validation on save.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-15--configure-state-and-state-update\n- docs/architecture/world-schema-and-kpis.md","epic:world-creator,type:feature"
"Epic 1 — Story 1.6: Build Key Performance Indicators","User story:\nAs a world creator, I want to define Key Performance Indicators so that I can track important signals.\n\nAcceptance criteria:\n- Builder supports scope (world/actor/pair), filters, window, aggregation.\n- Save/list/delete Key Performance Indicators per world.\n- Latest run snapshot values rendered on the world page.\n\nTechnical notes:\n- Persist to kpi_definitions; compute snapshots post‑run into kpi_snapshots.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-16--build-key-performance-indicators\n- docs/architecture/world-schema-and-kpis.md","epic:world-creator,type:feature,area:analytics"
"Epic 1 — Story 1.7: Seed baseline actors","User story:\nAs a world creator, I want baseline actors so that entrants have references.\n\nAcceptance criteria:\n- One‑click add Always Cooperate, Always Defect, Tit For Tat, Win‑Stay/Lose‑Shift.\n- actor_strategy_mode governs whether duplicates are allowed.\n\nTechnical notes:\n- Insert actors referencing builtin strategies; enforce uniqueness when one_to_one.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-17--seed-baseline-actors","epic:world-creator,type:feature"
"Epic 1 — Story 1.8: Validate world (10‑run sanity)","User story:\nAs a world creator, I want a sanity check so that obvious issues are caught early.\n\nAcceptance criteria:\n- Triggers a 10‑run deterministic job; artifacts are stored.\n- Summary view shows pairwise averages and any errors/outliers.\n\nTechnical notes:\n- Enqueue a run with iterations=as configured, repeat=10; seed fixed.\n- Save run_summary and pairwise_matrix; surface status.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-18--validate-world-10run-sanity\n- docs/architecture/simulation-engine-and-scheduling.md","epic:world-creator,type:feature,area:engine"
"Epic 1 — Story 1.9: Publish world page","User story:\nAs a world creator, I want to publish the world so that others can view and participate.\n\nAcceptance criteria:\n- Public overview includes rules, assumptions, Key Performance Indicators, leaderboards, and seeds.\n- Submission policy configurable: open/curated/invite-only; enforced on submissions.\n\nTechnical notes:\n- Public route `/worlds/{id}`; server filters private content; policy stored in schema_doc or separate column.\n\nLinks:\n- docs/stories/epic-1-world-creator.md#story-19--publish-world-page","epic:world-creator,type:feature,area:web"
"Epic 2 — Story 2.1: Choose authoring mode (Natural Language | Code)","User story:\nAs a strategy creator, I want to choose Natural Language or Code at creation so that I can use the best tool for my skillset.\n\nAcceptance criteria:\n- Mode toggle is required on first save and becomes read‑only thereafter.\n- UI adjusts fields and validation rules per mode.\n\nTechnical notes:\n- Persist mode on strategies.type; enforce immutability after first save.\n\nLinks:\n- docs/stories/epic-2-strategy-creator.md#story-21--choose-authoring-mode","epic:strategy-creator,type:feature"
